bbl,st_num,st_name,sq_ft,score,grade
1001407501,165,CHAMBERS STREET,107190,80,B
1001407502,311,GREENWICH STREET,82151,15,D
1001407505,157,CHAMBERS STREET,92418,1,D
1001417504,166,DUANE STREET,109200,1,D
1001427501,99,WARREN STREET,928915,8,D
1001427502,200,CHAMBERS STREET,403019,7,D
1001427503,111,MURRAY STREET,479813,35,D
1001430001,47,HUDSON STREET,77630,72,B
1001430004,55,HUDSON STREET,103750,72,B
1001430021,335,GREENWICH STREET,55800,18,D
1001440040,56,HUDSON STREET,802000,100,A
1001450012,125,CHAMBERS STREET,53039,1,D
1001457501,105,CHAMBERS STREET,55404,score missing,F
1001467501,96,READE STREET,44152,13,D
1001480010,71,THOMAS STREET,100750,78,B
1001480015,40,WORTH STREET,702815,81,B
1001490033,277,BROADWAY,93615,73,B
1001497501,77,READE STREET,87136,46,D
1001497502,281,BROADWAY,146093,18,D
1001500031,299,BROADWAY,253033,81,B
1001500038,291,BROADWAY,128940,69,C
1001507504,108,DUANE STREET,34012,96,A
1001510001,105,DUANE STREET,434418,23,D
1001510032,305,BROADWAY,132600,1,D
1001520025,325,BROADWAY,50000,33,D
1001527501,321,BROADWAY,31720,37,D
1001537501,49,CHAMBERS STREET,237307,35,D
1001550003,52,DUANE STREET,103158,64,C
1001580001,27,DUANE STREET,70590,score missing,F
1001610001,196,PARK ROW,306862,15,D
1001627501,7,CHATHAM SQUARE,47122,44,D
1001630006,20,PELL STREET,26719,score missing,F
1001640026,47,MOTT STREET,25480,score missing,F
1001700001,336,BROADWAY,139697,21,D
1001700020,111,WORTH STREET,419639,55,C
1001707501,108,LEONARD STREET,414363,100,A
1001710005,358,BROADWAY,48180,100,A
1001710007,360,BROADWAY,31500,score missing,F
1001717503,101,LEONARD STREET,141014,6,D
1001720001,364,BROADWAY,93378,9,D
1001720020,76,LAFAYETTE STREET,317464,49,D
1001727501,374,BROADWAY,137500,20,D
1001727504,50,FRANKLIN STREET,94147,9,D
1001730027,343,BROADWAY,396000,50,D
1001737501,66,LEONARD STREET,152495,16,D
1001737504,93,WORTH STREET,166215,21,D
1001740037,349,BROADWAY,42000,39,D
1001750029,373,BROADWAY,45006,87,A
1001750033,365,BROADWAY,63600,51,D
1001757501,377,BROADWAY,100650,29,D
1001757504,90,FRANKLIN STREET,107222,83,B
1001757506,5,FRANKLIN PLACE,131817,51,D
1001767501,56,LEONARD STREET,487508,1,D
1001770024,111,FRANKLIN STREET,33464,score missing,F
1001770027,105,FRANKLIN STREET,25947,score missing,F
1001790017,84,HUDSON STREET,51748,83,B
1001790056,100,HUDSON STREET,73954,77,B
1001790066,139,FRANKLIN STREET,56384,59,C
1001797506,14,LEONARD STREET,81650,28,D
1001807502,69,HUDSON STREET,25500,50,D
1001817503,6,HARRISON STREET,53685,24,D
1001817504,93,HUDSON STREET,142848,38,D
1001870016,377,GREENWICH STREET,75533,48,D
1001877501,375,GREENWICH STREET,63450,6,D
1001877503,111,HUDSON STREET,32223,1,D
1001887502,387,GREENWICH STREET,94723,2,D
1001887503,53,NORTH MOORE STREET,96504,9,D
1001887504,61,NORTH MOORE STREET,29500,score missing,F
1001887505,48,BEACH STREET,94532,2,D
1001890030,20,NORTH MOORE STREET,60600,80,B
1001897501,220,WEST BROADWAY,63996,3,D
1001907503,31,NORTH MOORE STREET,108300,64,C
1001907504,27,NORTH MOORE STREET,174625,49,D
1001907505,25,NORTH MOORE STREET,130094,44,D
1001907506,124,HUDSON STREET,81306,54,D
1001910001,2,AVENUE OF THE AMERICAS,133895,38,D
1001920001,16,WALKER STREET,1092665,94,A
1001937501,395,BROADWAY,130088,17,D
1001940042,60,WALKER STREET,230139,71,B
1001950002,384,BROADWAY,43300,93,A
1001950006,394,BROADWAY,25340,83,B
1001950027,84,WHITE STREET,46900,67,C
1001950030,80,WHITE STREET,38890,96,A
1001960005,408,BROADWAY,56210,34,D
1001960009,416,BROADWAY,31214,1,D
1001960013,268,CANAL STREET,26000,3,D
1001960021,254,CANAL STREET,42500,38,D
1001960022,92,WALKER STREET,36894,15,D
1001977502,139,CENTRE STREET,127879,1,D
1001980030,224,CANAL STREET,28222,82,B
1001997501,210,CANAL STREET,43326,score missing,F
1002007501,198,CANAL STREET,32567,11,D
1002007502,202,CANAL STREET,50089,43,D
1002010018,164,CANAL STREET,39224,score missing,F
1002020023,50,BOWERY,141052,1,D
1002027501,50,BAYARD STREET,235963,100,A
1002030002,38,ELIZABETH STREET,30000,66,C
1002030017,140,HESTER STREET,31000,62,C
1002030031,64,BOWERY,27109,1,D
1002040001,94,MOTT STREET,42000,89,A
1002040024,41,ELIZABETH STREET,45700,16,D
1002047501,158,HESTER STREET,99025,29,D
1002047502,53,ELIZABETH STREET,28505,61,C
1002050030,185,CANAL STREET,33000,16,D
1002057501,103,MOTT STREET,33015,1,D
1002067501,123,BAXTER STREET,62567,63,C
1002070001,235,CANAL STREET,43942,53,D
1002070017,118,BAXTER STREET,40500,61,C
1002070020,114,BAXTER STREET,33000,74,B
1002080019,239,CANAL STREET,42544,53,D
1002087501,129,LAFAYETTE STREET,75528,40,D
1002090001,277,CANAL STREET,29343,33,D
1002090005,428,BROADWAY,42000,43,D
